Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2009 Totals,69,278.0,239,22.0,47,8,1,7,3,2,33,79,2.39,0.197,0.301,0.326,0.627,78.0,5.0,3.0,2,1,3,3,0.26,100,68,31
Platoon Splits,vs RHB,68,192.0,164,23.0,26,4,0,6,1,1,22,60,2.73,0.159,0.268,0.293,0.561,48.0,4.0,3.0,2,1,3,2,0.202,79,53,16
Platoon Splits,vs LHB,53,86.0,75,12.0,21,4,1,1,2,1,11,19,1.73,0.28,0.372,0.4,0.772,30.0,1.0,0.0,0,0,0,1,0.364,146,104,15
Platoon Splits,vs RHB as LHP,68,192.0,164,23.0,26,4,0,6,1,1,22,60,2.73,0.159,0.268,0.293,0.561,48.0,4.0,3.0,2,1,3,2,0.202,79,47,16
Platoon Splits,vs LHB as LHP,53,86.0,75,12.0,21,4,1,1,2,1,11,19,1.73,0.28,0.372,0.4,0.772,30.0,1.0,0.0,0,0,0,1,0.364,146,121,15
Home or Away,Home,38,147.0,127,13.0,26,5,1,5,2,2,17,43,2.53,0.205,0.306,0.378,0.684,48.0,3.0,2.0,0,1,2,1,0.263,118,87,15
Home or Away,Away,31,131.0,112,9.0,21,3,0,2,1,0,16,36,2.25,0.188,0.295,0.268,0.563,30.0,2.0,1.0,2,0,1,2,0.257,80,49,16
First or Second Half,1st Half,42,176.0,155,11.0,32,7,0,2,3,2,16,50,3.13,0.207,0.291,0.29,0.582,45.0,2.0,3.0,1,1,1,2,0.289,86,57,23
First or Second Half,2nd Half,27,102.0,84,11.0,15,1,1,5,0,0,17,29,1.71,0.179,0.317,0.393,0.71,33.0,3.0,0.0,1,0,2,1,0.2,126,89,8
Months,April/March,10,38.0,33,3.0,9,3,0,0,0,0,2,11,5.5,0.273,0.324,0.364,0.688,12.0,1.0,1.0,1,1,1,0,0.391,119,82,6
Months,May,15,68.0,61,5.0,11,3,0,1,1,0,7,20,2.86,0.18,0.265,0.279,0.543,17.0,1.0,0.0,0,0,0,1,0.25,74,46,7
Months,June,14,54.0,45,0.0,6,1,0,0,1,1,7,15,2.14,0.133,0.278,0.156,0.433,7.0,0.0,2.0,0,0,0,1,0.2,40,24,5
Months,July,10,39.0,38,3.0,7,0,0,1,1,1,1,14,14.0,0.184,0.205,0.263,0.468,10.0,0.0,0.0,0,0,1,0,0.261,49,25,6
Months,August,11,52.0,42,7.0,8,1,0,5,0,0,9,12,1.33,0.191,0.333,0.571,0.905,24.0,2.0,0.0,1,0,1,1,0.12,186,131,2
Months,Sept/Oct,9,27.0,20,4.0,6,0,1,0,0,0,7,7,1.0,0.3,0.482,0.4,0.882,8.0,1.0,0.0,0,0,0,0,0.462,183,143,5
Game Outcome for Pitcher,in Wins,7,31.0,26,0.0,2,1,0,0,0,0,5,9,1.8,0.077,0.226,0.115,0.341,3.0,0.0,0.0,0,0,1,0,0.118,10,18,1
Game Outcome for Pitcher,in Losses,5,29.0,19,9.0,7,1,0,2,0,0,7,4,0.57,0.368,0.519,0.737,1.255,14.0,0.0,0.0,2,1,0,1,0.357,299,157,4
Game Outcome for Pitcher,in No Dec.,40,159.0,142,13.0,33,6,1,5,3,2,16,44,2.75,0.232,0.315,0.394,0.709,56.0,5.0,1.0,0,0,2,2,0.301,125,92,21
Game Outcome for Pitcher,in Saves,17,59.0,52,0.0,5,0,0,0,0,0,5,22,4.4,0.096,0.203,0.096,0.3,5.0,0.0,2.0,0,0,0,0,0.167,-3,28,5
Game Outcome for Pitcher,in Sv Situ,30,116.0,96,9.0,16,3,0,3,1,0,18,38,2.11,0.167,0.31,0.292,0.602,28.0,0.0,2.0,0,0,1,2,0.236,93,76,10
Game Outcome for Pitcher,in non-Sv,39,162.0,143,13.0,31,5,1,4,2,2,15,41,2.73,0.217,0.294,0.35,0.644,50.0,5.0,1.0,2,1,2,1,0.273,105,74,21
Pitching Role,as Reliever,69,278.0,239,22.0,47,8,1,7,3,2,33,79,2.39,0.197,0.301,0.326,0.627,78.0,5.0,3.0,2,1,3,3,0.26,100,73,31
Batting Order Positions,Batting 1st,29,29.0,24,2.0,6,1,1,1,0,0,4,5,1.25,0.25,0.379,0.5,0.879,12.0,0.0,1.0,0,0,0,0,0.278,179,131,3
Batting Order Positions,Batting 2nd,28,28.0,25,2.0,5,1,0,0,0,1,3,6,2.0,0.2,0.286,0.24,0.526,6.0,3.0,0.0,0,0,1,0,0.263,69,42,4
Batting Order Positions,Batting 3rd,25,25.0,22,6.0,6,2,0,0,1,0,2,5,2.5,0.273,0.32,0.364,0.684,8.0,1.0,0.0,0,1,0,0,0.333,118,65,4
