Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2009 Totals,72,282.0,254,13.0,53,13,0,4,5,0,24,61,2.54,0.209,0.281,0.307,0.588,78.0,4.0,2.0,1,1,4,1,0.258,100,58,36
Platoon Splits,vs RHB,70,196.0,176,15.0,43,11,0,4,3,0,18,32,1.78,0.244,0.321,0.375,0.696,66.0,3.0,2.0,0,0,4,0,0.279,136,89,28
Platoon Splits,vs LHB,56,86.0,78,2.0,10,2,0,0,2,0,6,29,4.83,0.128,0.188,0.154,0.342,12.0,1.0,0.0,1,1,0,1,0.2,17,-8,8
Platoon Splits,vs RHB as LHP,70,196.0,176,15.0,43,11,0,4,3,0,18,32,1.78,0.244,0.321,0.375,0.696,66.0,3.0,2.0,0,0,4,0,0.279,136,81,28
Platoon Splits,vs LHB as LHP,56,86.0,78,2.0,10,2,0,0,2,0,6,29,4.83,0.128,0.188,0.154,0.342,12.0,1.0,0.0,1,1,0,1,0.2,17,-1,8
Home or Away,Home,38,146.0,132,7.0,23,8,0,3,1,0,13,34,2.62,0.174,0.253,0.303,0.556,40.0,0.0,1.0,0,0,2,1,0.211,89,52,12
Home or Away,Away,34,136.0,122,6.0,30,5,0,1,4,0,11,27,2.45,0.246,0.311,0.312,0.623,38.0,4.0,1.0,1,1,2,0,0.305,112,64,24
First or Second Half,1st Half,38,153.0,138,10.0,29,8,0,3,2,0,12,34,2.83,0.21,0.281,0.333,0.614,46.0,3.0,2.0,0,1,1,1,0.255,109,64,18
First or Second Half,2nd Half,34,129.0,116,3.0,24,5,0,1,3,0,12,27,2.25,0.207,0.281,0.276,0.557,32.0,1.0,0.0,1,0,3,0,0.261,90,50,18
Months,April/March,10,43.0,41,5.0,13,3,0,2,2,0,2,8,4.0,0.317,0.349,0.537,0.885,22.0,1.0,0.0,0,0,0,0,0.355,199,130,8
Months,May,11,43.0,38,1.0,5,2,0,1,0,0,5,13,2.6,0.132,0.233,0.263,0.496,10.0,0.0,0.0,0,0,1,0,0.167,69,33,2
Months,June,11,42.0,38,1.0,5,2,0,0,0,0,2,8,4.0,0.132,0.214,0.184,0.399,7.0,1.0,2.0,0,0,0,1,0.167,36,11,3
Months,July,11,47.0,41,4.0,11,2,0,0,1,0,5,13,2.6,0.268,0.34,0.317,0.658,13.0,1.0,0.0,0,1,1,0,0.379,124,79,9
Months,August,14,61.0,53,1.0,12,3,0,1,1,0,7,8,1.14,0.226,0.317,0.34,0.656,18.0,1.0,0.0,1,0,2,0,0.25,124,73,8
Months,Sept/Oct,15,46.0,43,1.0,7,1,0,0,1,0,3,11,3.67,0.163,0.217,0.186,0.403,8.0,0.0,0.0,0,0,0,0,0.219,38,11,6
Game Outcome for Pitcher,in Wins,1,3.0,2,0.0,1,0,0,0,0,0,1,0,0.0,0.5,0.667,0.5,1.167,1.0,0.0,0.0,0,0,0,0,0.5,300,299,1
Game Outcome for Pitcher,in Losses,1,6.0,6,2.0,2,0,0,1,0,0,0,2,,0.333,0.333,0.833,1.167,5.0,0.0,0.0,0,0,0,0,0.333,290,127,1
Game Outcome for Pitcher,in No Dec.,49,196.0,174,9.0,38,7,0,2,3,0,19,38,2.0,0.218,0.297,0.293,0.591,51.0,3.0,1.0,1,1,4,1,0.267,101,62,29
Game Outcome for Pitcher,in Saves,21,77.0,72,2.0,12,6,0,1,2,0,4,21,5.25,0.167,0.221,0.292,0.513,21.0,1.0,1.0,0,0,0,0,0.22,74,120,5
Game Outcome for Pitcher,in Sv Situ,37,152.0,136,8.0,28,9,0,4,4,0,15,36,2.4,0.206,0.29,0.36,0.65,49.0,1.0,1.0,0,0,1,0,0.25,120,87,15
Game Outcome for Pitcher,in non-Sv,35,130.0,118,5.0,25,4,0,0,1,0,9,25,2.78,0.212,0.271,0.246,0.517,29.0,3.0,1.0,1,1,3,1,0.266,77,41,21
Pitching Role,as Reliever,72,282.0,254,13.0,53,13,0,4,5,0,24,61,2.54,0.209,0.281,0.307,0.588,78.0,4.0,2.0,1,1,4,1,0.258,100,62,36
Batting Order Positions,Batting 1st,39,39.0,33,4.0,8,1,0,0,0,0,5,11,2.2,0.242,0.333,0.273,0.606,9.0,0.0,0.0,0,1,1,0,0.348,107,63,7
Batting Order Positions,Batting 2nd,38,38.0,35,3.0,9,2,0,2,1,0,2,8,4.0,0.257,0.316,0.486,0.802,17.0,1.0,1.0,0,0,0,0,0.28,171,110,5
Batting Order Positions,Batting 3rd,30,30.0,26,3.0,5,3,0,1,0,0,3,5,1.67,0.192,0.3,0.423,0.723,11.0,1.0,1.0,0,0,0,0,0.2,145,72,1
Batting Order Positions,Batting 4th,24,24.0,21,0.0,1,0,0,0,0,0,3,7,2.33,0.048,0.167,0.048,0.214,1.0,0.0,0.0,0,0,1,0,0.071,-25,-42,1
Batting Order Positions,Batting 5th,22,22.0,22,2.0,4,0,0,0,3,0,0,3,,0.182,0.182,0.182,0.364,4.0,1.0,0.0,0,0,0,0,0.211,24,-5,4
Batting Order Positions,Batting 6th,26,26.0,22,1.0,3,1,0,0,0,0,4,4,1.0,0.136,0.269,0.182,0.451,4.0,0.0,0.0,0,0,1,0,0.167,55,22,2
Batting Order Positions,Batting 7th,31,31.0,29,2.0,7,2,0,1,0,0,2,7,3.5,0.241,0.29,0.414,0.704,12.0,0.0,0.0,0,0,0,0,0.286,138,92,4
Batting Order Positions,Batting 8th,35,35.0,33,0.0,8,2,0,0,1,0,2,11,5.5,0.242,0.286,0.303,0.589,10.0,0.0,0.0,0,0,1,1,0.364,101,68,6
Batting Order Positions,Batting 9th,37,37.0,33,2.0,8,2,0,0,0,0,3,5,1.67,0.242,0.306,0.303,0.609,10.0,1.0,0.0,1,0,0,0,0.286,108,114,6
Batting Order Positions,"Bat1-2,non-P",48,77.0,68,7.0,17,3,0,2,1,0,7,19,2.71,0.25,0.325,0.382,0.707,26.0,1.0,1.0,0,1,1,0,0.313,140,88,12
Batting Order Positions,"Bat3-6,non-P",51,102.0,91,6.0,13,4,0,1,3,0,10,19,1.9,0.143,0.235,0.22,0.455,20.0,2.0,1.0,0,0,2,0,0.169,55,16,8
Batting Order Positions,"Bat7-9,non-P",50,102.0,95,4.0,23,6,0,1,1,0,7,23,3.29,0.242,0.294,0.337,0.631,32.0,1.0,0.0,0,0,1,1,0.31,114,80,16
Swung or Took First Pitch of PA,Swung at 1st Pitch,45,67.0,65,6.0,16,10,0,1,,,2,8,4.0,0.246,0.269,0.446,0.715,29.0,1.0,0.0,0,0,0,0,0.268,141,92,5
