Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2016 Totals,63,246.0,208,32.0,50,7,3,6,7,1,28,59,2.11,0.24,0.339,0.389,0.728,81.0,1.0,5.0,1,4,4,1,0.299,100,99,34
Platoon Splits,vs RHB,57,146.0,125,26.0,35,5,2,6,5,1,14,38,2.71,0.28,0.359,0.496,0.855,62.0,0.0,3.0,1,3,1,0,0.345,133,131,22
Platoon Splits,vs LHB,47,100.0,83,7.0,15,2,1,0,2,0,14,21,1.5,0.181,0.31,0.229,0.539,19.0,1.0,2.0,0,1,3,1,0.238,50,50,12
Platoon Splits,vs RHB as RHP,57,146.0,125,26.0,35,5,2,6,5,1,14,38,2.71,0.28,0.359,0.496,0.855,62.0,0.0,3.0,1,3,1,0,0.345,133,135,22
Platoon Splits,vs LHB as RHP,47,100.0,83,7.0,15,2,1,0,2,0,14,21,1.5,0.181,0.31,0.229,0.539,19.0,1.0,2.0,0,1,3,1,0.238,50,47,12
Home or Away,Home,35,152.0,127,24.0,34,5,2,3,6,1,19,40,2.11,0.268,0.371,0.409,0.78,52.0,0.0,3.0,1,2,4,1,0.361,115,117,24
Home or Away,Away,28,94.0,81,8.0,16,2,1,3,1,0,9,19,2.11,0.198,0.287,0.358,0.645,29.0,1.0,2.0,0,2,0,0,0.213,77,72,10
First or Second Half,1st Half,33,131.0,116,15.0,24,4,1,4,3,1,14,35,2.5,0.207,0.298,0.362,0.66,42.0,1.0,1.0,0,0,2,1,0.26,81,79,15
First or Second Half,2nd Half,30,115.0,92,17.0,26,3,2,2,4,0,14,24,1.71,0.283,0.386,0.424,0.81,39.0,0.0,4.0,1,4,2,0,0.343,123,123,19
Months,April/March,4,26.0,23,4.0,5,1,0,1,0,0,3,5,1.67,0.217,0.308,0.391,0.699,9.0,0.0,0.0,0,0,0,0,0.235,91,93,3
Months,May,12,39.0,34,5.0,7,2,1,1,0,0,5,10,2.0,0.206,0.308,0.412,0.72,14.0,0.0,0.0,0,0,0,0,0.261,97,96,3
Months,June,14,54.0,48,5.0,11,1,0,2,3,1,5,15,3.0,0.229,0.315,0.375,0.69,18.0,1.0,1.0,0,0,2,0,0.29,89,83,8
Months,July,11,39.0,34,2.0,4,2,0,0,0,0,4,13,3.25,0.118,0.211,0.177,0.387,6.0,0.0,0.0,1,0,0,1,0.191,8,9,2
Months,August,13,47.0,38,10.0,14,1,2,0,3,0,5,9,1.8,0.368,0.426,0.5,0.926,19.0,0.0,1.0,0,3,1,0,0.438,154,149,11
Months,Sept/Oct,9,41.0,31,6.0,9,0,0,2,1,0,6,7,1.17,0.29,0.439,0.484,0.923,15.0,0.0,3.0,0,1,1,0,0.304,154,154,7
Game Outcome for Pitcher,in Wins,3,10.0,9,0.0,0,0,0,0,0,0,1,5,5.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0,0,0,0,0.0,-71,-62,0
Game Outcome for Pitcher,in Losses,7,35.0,30,15.0,16,2,0,3,3,0,5,6,1.2,0.533,0.6,0.9,1.5,27.0,0.0,0.0,0,0,2,0,0.619,308,207,11
Game Outcome for Pitcher,in No Dec.,42,167.0,139,17.0,32,4,3,3,4,0,19,40,2.11,0.23,0.335,0.367,0.702,51.0,0.0,5.0,0,4,2,1,0.29,93,95,22
Game Outcome for Pitcher,in Saves,11,34.0,30,0.0,2,1,0,0,0,1,3,8,2.67,0.067,0.152,0.1,0.252,3.0,1.0,0.0,1,0,0,0,0.091,-30,9,1
Game Outcome for Pitcher,in Sv Situ,29,106.0,90,17.0,23,3,2,4,5,1,15,27,1.8,0.256,0.362,0.467,0.829,42.0,1.0,0.0,1,0,3,0,0.322,127,148,14
Game Outcome for Pitcher,in non-Sv,34,140.0,118,15.0,27,4,1,2,2,0,13,32,2.46,0.229,0.321,0.331,0.652,39.0,0.0,5.0,0,4,1,1,0.284,80,80,20
Pitching Role,as Reliever,63,246.0,208,32.0,50,7,3,6,7,1,28,59,2.11,0.24,0.339,0.389,0.728,81.0,1.0,5.0,1,4,4,1,0.299,100,104,34
Batting Order Positions,Batting 1st,26,26.0,24,1.0,6,1,1,0,1,0,1,5,5.0,0.25,0.308,0.375,0.683,9.0,0.0,1.0,0,0,1,0,0.316,87,79,4
Batting Order Positions,Batting 2nd,25,25.0,19,6.0,4,0,0,1,0,0,3,7,2.33,0.211,0.36,0.368,0.728,7.0,0.0,2.0,0,1,0,0,0.25,101,95,3
Batting Order Positions,Batting 3rd,27,27.0,23,1.0,6,1,1,0,2,0,4,8,2.0,0.261,0.37,0.391,0.762,9.0,0.0,0.0,0,0,1,0,0.4,110,88,4
Batting Order Positions,Batting 4th,28,28.0,23,9.0,7,0,1,2,1,0,3,3,1.0,0.304,0.357,0.652,1.009,15.0,0.0,0.0,0,2,2,0,0.25,173,147,4
Batting Order Positions,Batting 5th,32,32.0,27,2.0,8,3,0,1,1,0,4,6,1.5,0.296,0.406,0.519,0.925,14.0,0.0,1.0,0,0,0,0,0.35,153,142,4
Batting Order Positions,Batting 6th,29,29.0,22,4.0,4,0,0,1,0,0,7,6,0.86,0.182,0.379,0.318,0.698,7.0,0.0,0.0,0,0,0,0,0.2,94,95,3
Batting Order Positions,Batting 7th,31,29.0,24,3.0,5,1,0,0,2,1,3,6,2.0,0.208,0.321,0.25,0.571,6.0,0.0,1.0,1,0,0,0,0.278,59,69,4
Batting Order Positions,Batting 8th,27,27.0,24,5.0,7,1,0,1,0,0,3,8,2.67,0.292,0.37,0.458,0.829,11.0,0.0,0.0,0,0,0,0,0.4,127,139,5
Batting Order Positions,Batting 9th,23,23.0,22,2.0,3,0,0,0,0,0,0,10,,0.136,0.13,0.136,0.267,3.0,1.0,0.0,0,1,0,1,0.231,-27,-7,3
Batting Order Positions,"Bat1-2,non-P",35,51.0,43,7.0,10,1,1,1,1,0,4,12,3.0,0.233,0.333,0.372,0.705,16.0,0.0,3.0,0,1,1,0,0.29,94,87,7
Batting Order Positions,"Bat3-6,non-P",49,115.0,94,16.0,25,4,2,4,4,0,18,23,1.28,0.266,0.383,0.479,0.861,45.0,0.0,1.0,0,2,3,0,0.304,136,121,15
Batting Order Positions,"Bat7-9,non-P",41,78.0,69,10.0,15,2,0,1,2,1,6,24,4.0,0.217,0.286,0.29,0.576,20.0,1.0,1.0,1,1,0,1,0.311,59,70,12
Swung or Took First Pitch of PA,Swung at 1st Pitch,40,73.0,63,10.0,14,1,1,0,,,5,20,4.0,0.222,0.288,0.27,0.558,17.0,0.0,2.0,0,3,0,1,0.304,54,60,12
Swung or Took First Pitch of PA,Took 1st Pitch,61,173.0,145,21.0,36,6,2,6,,,23,39,1.7,0.248,0.361,0.441,0.802,64.0,1.0,3.0,1,1,4,0,0.297,120,116,22
Count/Balls-Strikes,First Pitch,20,22.0,19,4.0,7,1,0,0,,,0,0,,0.368,0.364,0.421,0.785,8.0,0.0,1.0,0,2,0,0,0.333,116,76,6
Count/Balls-Strikes,1-0 Count,16,16.0,15,2.0,2,0,0,0,,,0,0,,0.133,0.133,0.133,0.267,2.0,0.0,0.0,1,0,0,0,0.133,-27,-41,2
Count/Balls-Strikes,2-0 Count,5,5.0,5,3.0,2,0,0,1,,,0,0,,0.4,0.4,1.0,1.4,5.0,0.0,0.0,0,0,0,0,0.25,275,172,1
Count/Balls-Strikes,3-0 Count,7,8.0,0,0.0,0,0,0,0,,,8,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,3,0,,,,0
Count/Balls-Strikes,0-1 Count,15,16.0,16,2.0,8,0,0,2,,,0,0,,0.5,0.5,0.875,1.375,14.0,0.0,0.0,0,0,0,0,0.429,272,225,6
Count/Balls-Strikes,1-1 Count,17,17.0,15,3.0,7,1,1,1,,,0,0,,0.467,0.529,0.867,1.396,13.0,1.0,2.0,0,0,0,0,0.429,279,218,4
Count/Balls-Strikes,2-1 Count,11,12.0,12,5.0,4,1,0,1,,,0,0,,0.333,0.333,0.667,1.0,8.0,0.0,0.0,0,0,0,1,0.273,170,113,2
Count/Balls-Strikes,3-1 Count,9,9.0,1,0.0,0,0,0,0,,,8,0,0.0,0.0,0.889,0.0,0.889,0.0,0.0,0.0,0,0,1,0,0.0,162,28,0
Count/Balls-Strikes,0-2 Count,21,28.0,27,4.0,4,1,1,0,,,0,16,,0.148,0.143,0.259,0.402,7.0,0.0,0.0,0,1,0,0,0.333,9,107,2
