Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2014 Totals,64,230.0,212,24.0,43,7,0,9,2,1,12,59,4.92,0.203,0.259,0.363,0.622,77.0,3.0,4.0,2,0,2,1,0.236,100,77,27
Platoon Splits,vs RHB,61,141.0,134,13.0,23,2,0,6,1,1,5,48,9.6,0.172,0.207,0.321,0.528,43.0,2.0,1.0,1,0,0,0,0.213,68,49,15
Platoon Splits,vs LHB,47,89.0,78,9.0,20,5,0,3,1,0,7,11,1.57,0.256,0.341,0.436,0.777,34.0,1.0,3.0,1,0,2,1,0.266,152,121,12
Platoon Splits,vs RHB as RHP,61,141.0,134,13.0,23,2,0,6,1,1,5,48,9.6,0.172,0.207,0.321,0.528,43.0,2.0,1.0,1,0,0,0,0.213,68,53,15
Platoon Splits,vs LHB as RHP,47,89.0,78,9.0,20,5,0,3,1,0,7,11,1.57,0.256,0.341,0.436,0.777,34.0,1.0,3.0,1,0,2,1,0.266,152,117,12
Home or Away,Home,32,113.0,105,10.0,14,1,0,3,0,1,6,38,6.33,0.133,0.195,0.229,0.423,24.0,0.0,2.0,0,0,1,1,0.172,38,24,10
Home or Away,Away,32,117.0,107,14.0,29,6,0,6,2,0,6,21,3.5,0.271,0.322,0.495,0.817,53.0,3.0,2.0,2,0,1,0,0.288,161,126,17
First or Second Half,1st Half,40,153.0,139,20.0,29,5,0,7,1,1,9,36,4.0,0.209,0.276,0.396,0.672,55.0,3.0,4.0,1,0,2,1,0.229,116,89,17
First or Second Half,2nd Half,24,77.0,73,4.0,14,2,0,2,1,0,3,23,7.67,0.192,0.224,0.301,0.525,22.0,0.0,0.0,1,0,0,0,0.25,69,51,10
Months,April/March,12,42.0,38,3.0,6,0,0,2,0,1,2,10,5.0,0.158,0.22,0.316,0.535,12.0,1.0,1.0,1,0,0,1,0.154,72,51,4
Months,May,13,52.0,47,6.0,10,2,0,2,1,0,3,10,3.33,0.213,0.289,0.383,0.672,18.0,1.0,2.0,0,0,0,0,0.229,117,88,6
Months,June,9,37.0,34,9.0,10,1,0,2,0,0,2,7,3.5,0.294,0.351,0.5,0.851,17.0,1.0,1.0,0,0,1,0,0.32,173,142,7
Months,July,10,38.0,34,4.0,5,3,0,2,0,0,4,12,3.0,0.147,0.237,0.412,0.649,14.0,0.0,0.0,0,0,1,0,0.15,105,82,0
Months,August,11,34.0,33,0.0,6,1,0,0,1,0,1,14,14.0,0.182,0.206,0.212,0.418,7.0,0.0,0.0,0,0,0,0,0.316,38,22,5
Months,Sept/Oct,9,27.0,26,2.0,6,0,0,1,0,0,0,6,,0.231,0.231,0.346,0.577,9.0,0.0,0.0,1,0,0,0,0.263,85,66,5
Game Outcome for Pitcher,in Wins,6,24.0,23,2.0,6,2,0,1,0,1,1,7,7.0,0.261,0.292,0.478,0.77,11.0,0.0,0.0,0,0,1,0,0.333,144,172,3
Game Outcome for Pitcher,in Losses,4,21.0,18,10.0,11,1,0,1,0,0,2,0,0.0,0.611,0.65,0.833,1.483,15.0,0.0,0.0,1,0,1,0,0.588,380,227,9
Game Outcome for Pitcher,in No Dec.,31,104.0,97,9.0,15,3,0,5,1,0,6,34,5.67,0.155,0.212,0.34,0.552,33.0,1.0,1.0,0,0,0,1,0.172,76,60,7
Game Outcome for Pitcher,in Saves,23,81.0,74,3.0,11,1,0,2,1,0,3,18,6.0,0.149,0.213,0.243,0.456,18.0,2.0,3.0,1,0,0,0,0.167,49,105,8
Game Outcome for Pitcher,in Sv Situ,39,140.0,128,17.0,27,3,0,6,1,0,8,30,3.75,0.211,0.273,0.375,0.648,48.0,2.0,3.0,1,0,1,0,0.228,109,102,18
Game Outcome for Pitcher,in non-Sv,25,90.0,84,7.0,16,4,0,3,1,1,4,29,7.25,0.191,0.236,0.345,0.581,29.0,1.0,1.0,1,0,1,1,0.25,86,66,9
Pitching Role,as Reliever,64,230.0,212,24.0,43,7,0,9,2,1,12,59,4.92,0.203,0.259,0.363,0.622,77.0,3.0,4.0,2,0,2,1,0.236,100,81,27
Batting Order Positions,Batting 1st,19,19.0,18,2.0,5,1,0,0,1,0,1,4,4.0,0.278,0.316,0.333,0.649,6.0,0.0,0.0,0,0,0,0,0.357,114,83,4
Batting Order Positions,Batting 2nd,20,20.0,19,3.0,3,0,0,1,0,0,0,6,,0.158,0.2,0.316,0.516,6.0,0.0,1.0,0,0,0,0,0.167,64,43,2
Batting Order Positions,Batting 3rd,29,29.0,26,4.0,6,1,0,3,1,0,3,4,1.33,0.231,0.31,0.615,0.926,16.0,1.0,0.0,0,0,0,0,0.158,189,125,2
Batting Order Positions,Batting 4th,27,27.0,27,6.0,5,0,0,3,0,0,0,8,,0.185,0.185,0.519,0.704,14.0,1.0,0.0,0,0,0,0,0.125,114,79,2
Batting Order Positions,Batting 5th,27,27.0,23,3.0,3,1,0,1,0,0,4,8,2.0,0.13,0.259,0.304,0.564,7.0,0.0,0.0,0,0,1,1,0.143,84,55,1
Batting Order Positions,Batting 6th,30,30.0,28,1.0,5,1,0,1,0,0,2,9,4.5,0.179,0.233,0.321,0.555,9.0,0.0,0.0,0,0,1,0,0.222,78,61,3
Batting Order Positions,Batting 7th,27,27.0,23,2.0,6,1,0,0,0,0,1,8,8.0,0.261,0.346,0.304,0.651,7.0,1.0,2.0,1,0,0,0,0.4,117,94,5
Batting Order Positions,Batting 8th,27,27.0,26,1.0,6,0,0,0,0,0,0,4,,0.231,0.231,0.231,0.462,6.0,0.0,0.0,1,0,0,0,0.273,53,42,6
Batting Order Positions,Batting 9th,24,24.0,22,0.0,4,2,0,0,0,1,1,8,8.0,0.182,0.25,0.273,0.523,6.0,0.0,1.0,0,0,0,0,0.286,72,97,2
Batting Order Positions,"Bat1-2,non-P",28,39.0,37,5.0,8,1,0,1,1,0,1,10,10.0,0.216,0.256,0.324,0.581,12.0,0.0,1.0,0,0,0,0,0.269,88,62,6
