Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2014 Totals,62,292.0,264,46.0,78,10,0,4,5,0,18,47,2.61,0.296,0.35,0.379,0.728,100.0,10.0,5.0,3,2,7,2,0.344,100,109,64
Platoon Splits,vs RHB,59,164.0,153,23.0,43,7,0,1,2,0,5,29,5.8,0.281,0.315,0.346,0.661,53.0,8.0,3.0,2,1,0,2,0.339,82,90,35
Platoon Splits,vs LHB,54,128.0,111,20.0,35,3,0,3,3,0,13,18,1.38,0.315,0.394,0.423,0.817,47.0,2.0,2.0,1,1,7,0,0.352,125,135,29
Platoon Splits,vs RHB as RHP,59,164.0,153,23.0,43,7,0,1,2,0,5,29,5.8,0.281,0.315,0.346,0.661,53.0,8.0,3.0,2,1,0,2,0.339,82,95,35
Platoon Splits,vs LHB as RHP,54,128.0,111,20.0,35,3,0,3,3,0,13,18,1.38,0.315,0.394,0.423,0.817,47.0,2.0,2.0,1,1,7,0,0.352,125,131,29
Home or Away,Home,32,155.0,140,26.0,41,7,0,2,2,0,11,24,2.18,0.293,0.351,0.386,0.736,54.0,6.0,2.0,1,1,5,1,0.339,102,116,32
Home or Away,Away,30,137.0,124,20.0,37,3,0,2,3,0,7,23,3.29,0.298,0.348,0.371,0.719,46.0,4.0,3.0,2,1,2,1,0.35,98,103,32
First or Second Half,1st Half,38,193.0,176,29.0,49,8,0,4,4,0,10,32,3.2,0.278,0.325,0.392,0.717,69.0,6.0,3.0,2,2,3,1,0.317,97,103,37
First or Second Half,2nd Half,24,99.0,88,17.0,29,2,0,0,1,0,8,15,1.88,0.33,0.398,0.352,0.75,31.0,4.0,2.0,1,0,4,1,0.397,107,121,27
Months,April/March,13,66.0,59,12.0,16,2,0,1,1,0,4,10,2.5,0.271,0.323,0.356,0.679,21.0,3.0,1.0,1,1,1,1,0.306,87,93,13
Months,May,12,61.0,56,7.0,13,2,0,0,2,0,4,13,3.25,0.232,0.295,0.268,0.563,15.0,0.0,1.0,0,0,1,0,0.302,55,61,11
Months,June,9,34.0,32,7.0,13,3,0,2,0,0,0,5,,0.406,0.412,0.688,1.099,22.0,2.0,1.0,0,1,0,0,0.423,200,210,8
Months,July,10,59.0,50,6.0,10,1,0,1,1,0,6,10,1.67,0.2,0.298,0.28,0.578,14.0,1.0,1.0,2,0,3,0,0.231,59,67,8
Months,August,10,40.0,39,12.0,17,0,0,0,1,0,0,5,,0.436,0.45,0.436,0.886,17.0,3.0,1.0,0,0,0,0,0.5,144,159,17
Months,Sept/Oct,8,32.0,28,2.0,9,2,0,0,0,0,4,4,1.0,0.321,0.406,0.393,0.799,11.0,1.0,0.0,0,0,2,1,0.375,120,135,7
Game Outcome for Pitcher,in Wins,4,20.0,19,1.0,3,0,0,0,0,0,1,3,3.0,0.158,0.2,0.158,0.358,3.0,0.0,0.0,0,0,1,0,0.188,-1,30,3
Game Outcome for Pitcher,in Losses,8,50.0,40,16.0,15,2,0,1,2,0,7,7,1.0,0.375,0.49,0.5,0.99,20.0,2.0,2.0,1,0,2,1,0.438,172,122,12
Game Outcome for Pitcher,in No Dec.,42,186.0,171,24.0,50,4,0,3,2,0,9,30,3.33,0.292,0.337,0.368,0.705,63.0,7.0,3.0,2,1,4,1,0.338,94,108,43
Game Outcome for Pitcher,in Saves,8,36.0,34,5.0,10,4,0,0,1,0,1,7,7.0,0.294,0.306,0.412,0.717,14.0,1.0,0.0,0,1,0,0,0.357,96,222,6
Game Outcome for Pitcher,in Sv Situ,27,120.0,109,22.0,33,6,0,3,1,0,7,21,3.0,0.303,0.353,0.44,0.793,48.0,2.0,2.0,1,1,2,0,0.349,117,148,24
Game Outcome for Pitcher,in non-Sv,35,172.0,155,24.0,45,4,0,1,4,0,11,26,2.36,0.29,0.347,0.336,0.683,52.0,8.0,3.0,2,1,5,2,0.341,88,98,40
Pitching Role,as Reliever,62,292.0,264,46.0,78,10,0,4,5,0,18,47,2.61,0.296,0.35,0.379,0.728,100.0,10.0,5.0,3,2,7,2,0.344,100,114,64
Batting Order Positions,Batting 1st,34,35.0,33,3.0,9,0,0,0,0,0,1,7,7.0,0.273,0.314,0.273,0.587,9.0,2.0,1.0,0,0,0,0,0.346,62,67,9
Batting Order Positions,Batting 2nd,43,44.0,41,7.0,13,2,0,0,0,0,3,3,1.0,0.317,0.364,0.366,0.73,15.0,2.0,0.0,0,0,1,0,0.342,101,107,11
Batting Order Positions,Batting 3rd,40,40.0,36,7.0,12,0,0,0,0,0,1,4,4.0,0.333,0.375,0.333,0.708,12.0,2.0,2.0,0,1,1,0,0.364,95,81,12
Batting Order Positions,Batting 4th,36,36.0,33,1.0,6,2,0,1,0,0,2,6,3.0,0.182,0.25,0.333,0.583,11.0,1.0,1.0,0,0,1,0,0.192,60,55,3
Batting Order Positions,Batting 5th,32,32.0,29,8.0,10,2,0,2,1,0,2,6,3.0,0.345,0.406,0.621,1.027,18.0,0.0,1.0,0,0,1,0,0.381,180,178,6
Batting Order Positions,Batting 6th,25,25.0,22,3.0,5,1,0,0,2,0,2,10,5.0,0.227,0.292,0.273,0.564,6.0,0.0,0.0,1,0,1,1,0.417,56,68,4
