Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2021 Totals,55,228.0,208,21.0,45,6,0,12,0,0,17,62,3.65,0.216,0.282,0.418,0.7,87.0,3.0,2.0,1,0,3,1,0.246,100,91,27
Platoon Splits,vs RHB,54,126.0,117,12.0,24,3,0,6,0,0,7,34,4.86,0.205,0.262,0.385,0.647,45.0,1.0,2.0,0,0,2,0,0.234,85,76,15
Platoon Splits,vs LHB,52,102.0,91,11.0,21,3,0,6,0,0,10,28,2.8,0.231,0.307,0.462,0.768,42.0,2.0,0.0,1,0,1,1,0.263,119,110,12
Platoon Splits,vs RHB as RHP,54,126.0,117,12.0,24,3,0,6,0,0,7,34,4.86,0.205,0.262,0.385,0.647,45.0,1.0,2.0,0,0,2,0,0.234,85,81,15
Platoon Splits,vs LHB as RHP,52,102.0,91,11.0,21,3,0,6,0,0,10,28,2.8,0.231,0.307,0.462,0.768,42.0,2.0,0.0,1,0,1,1,0.263,119,106,12
Home or Away,Home,32,135.0,124,12.0,26,3,0,6,0,0,10,37,3.7,0.21,0.274,0.379,0.653,47.0,0.0,1.0,0,0,1,1,0.247,88,82,17
Home or Away,Away,23,93.0,84,9.0,19,3,0,6,0,0,7,25,3.57,0.226,0.294,0.476,0.77,40.0,3.0,1.0,1,0,2,0,0.245,118,104,10
First or Second Half,1st Half,30,118.0,111,9.0,25,3,0,5,0,0,7,32,4.57,0.225,0.271,0.387,0.659,43.0,3.0,0.0,0,0,2,1,0.27,89,82,17
First or Second Half,2nd Half,25,110.0,97,12.0,20,3,0,7,0,0,10,30,3.0,0.206,0.294,0.454,0.747,44.0,0.0,2.0,1,0,1,0,0.217,113,100,10
Months,April/March,10,39.0,39,3.0,9,2,0,2,0,0,0,13,,0.231,0.231,0.436,0.667,17.0,0.0,0.0,0,0,0,0,0.292,86,87,5
Months,May,9,35.0,31,1.0,5,0,0,0,0,0,4,10,2.5,0.161,0.257,0.161,0.418,5.0,1.0,0.0,0,0,2,1,0.238,30,22,5
Months,June,8,35.0,32,5.0,10,1,0,3,0,0,3,8,2.67,0.313,0.371,0.625,0.996,20.0,1.0,0.0,0,0,0,0,0.333,181,166,6
Months,July,5,17.0,17,0.0,3,1,0,0,0,0,0,4,,0.177,0.177,0.235,0.412,4.0,1.0,0.0,0,0,0,0,0.231,19,11,2
Months,August,11,46.0,39,7.0,9,0,0,4,0,0,5,13,2.6,0.231,0.348,0.539,0.886,21.0,0.0,2.0,0,0,0,0,0.227,152,140,5
Months,Sept/Oct,12,56.0,50,5.0,9,2,0,3,0,0,5,14,2.8,0.18,0.255,0.4,0.655,20.0,0.0,0.0,1,0,1,0,0.182,86,74,4
Game Outcome for Pitcher,in Wins,3,18.0,16,2.0,2,1,0,1,0,0,1,7,7.0,0.125,0.177,0.375,0.552,6.0,0.0,0.0,1,0,1,0,0.125,52,103,0
Game Outcome for Pitcher,in Losses,1,6.0,6,3.0,4,0,0,2,0,0,0,1,,0.667,0.667,1.667,2.333,10.0,0.0,0.0,0,0,0,0,0.667,535,345,2
Game Outcome for Pitcher,in No Dec.,25,99.0,93,10.0,24,4,0,6,0,0,6,22,3.67,0.258,0.303,0.495,0.798,46.0,2.0,0.0,0,0,2,1,0.277,126,119,14
Game Outcome for Pitcher,in Saves,26,105.0,93,6.0,15,1,0,3,0,0,10,32,3.2,0.161,0.257,0.269,0.526,25.0,1.0,2.0,0,0,0,0,0.207,56,139,11
Game Outcome for Pitcher,in Sv Situ,30,127.0,115,12.0,24,1,0,7,0,0,10,37,3.7,0.209,0.284,0.4,0.684,46.0,1.0,2.0,0,0,0,1,0.239,96,98,16
Game Outcome for Pitcher,in non-Sv,25,101.0,93,9.0,21,5,0,5,0,0,7,25,3.57,0.226,0.28,0.441,0.721,41.0,2.0,0.0,1,0,3,0,0.254,105,96,11
Pitching Role,as Reliever,55,228.0,208,21.0,45,6,0,12,0,0,17,62,3.65,0.216,0.282,0.418,0.7,87.0,3.0,2.0,1,0,3,1,0.246,100,94,27
Batting Order Positions,Batting 1st,19,19.0,16,3.0,4,0,0,2,0,0,3,4,1.33,0.25,0.368,0.625,0.993,10.0,1.0,0.0,0,0,0,0,0.2,180,156,2
Batting Order Positions,Batting 2nd,16,16.0,15,2.0,5,1,0,0,0,0,0,2,,0.333,0.375,0.4,0.775,6.0,0.0,1.0,0,0,0,0,0.385,129,103,4
Batting Order Positions,Batting 3rd,17,17.0,17,1.0,3,0,0,1,0,0,0,7,,0.177,0.177,0.353,0.529,6.0,1.0,0.0,0,0,0,0,0.222,47,27,2
Batting Order Positions,Batting 4th,19,19.0,18,3.0,4,1,0,2,0,0,1,5,5.0,0.222,0.263,0.611,0.874,11.0,0.0,0.0,0,0,1,0,0.182,139,116,1
Batting Order Positions,Batting 5th,27,27.0,23,1.0,4,1,0,0,0,0,4,9,2.25,0.174,0.296,0.217,0.514,5.0,0.0,0.0,0,0,0,0,0.286,57,44,3
Batting Order Positions,Batting 6th,32,32.0,29,3.0,8,0,0,2,0,0,3,4,1.33,0.276,0.344,0.483,0.827,14.0,0.0,0.0,0,0,1,1,0.261,138,128,6
Batting Order Positions,Batting 7th,35,35.0,32,4.0,5,1,0,3,0,0,3,11,3.67,0.156,0.229,0.469,0.697,15.0,0.0,0.0,0,0,1,0,0.111,93,96,1
Batting Order Positions,Batting 8th,35,35.0,31,4.0,9,2,0,2,0,0,2,7,3.5,0.29,0.353,0.548,0.901,17.0,1.0,1.0,1,0,0,0,0.318,156,169,5
Batting Order Positions,Batting 9th,28,28.0,27,2.0,3,0,0,0,0,0,1,13,13.0,0.111,0.143,0.111,0.254,3.0,0.0,0.0,0,0,0,0,0.214,-23,-9,3
Batting Order Positions,"Bat1-2,non-P",23,35.0,31,5.0,9,1,0,2,0,0,3,6,2.0,0.29,0.371,0.516,0.888,16.0,1.0,1.0,0,0,0,0,0.304,155,129,6
Batting Order Positions,"Bat3-6,non-P",43,94.0,86,8.0,19,2,0,5,0,0,8,25,3.13,0.221,0.287,0.419,0.706,36.0,1.0,0.0,0,0,2,1,0.25,102,84,12
Batting Order Positions,"Bat7-9,non-P",42,98.0,90,10.0,17,3,0,5,0,0,6,31,5.17,0.189,0.247,0.389,0.636,35.0,1.0,1.0,1,0,1,0,0.222,81,86,9
Swung or Took First Pitch of PA,Swung at 1st Pitch,48,93.0,90,10.0,20,5,0,5,,,1,24,24.0,0.222,0.239,0.444,0.684,40.0,2.0,1.0,1,0,0,1,0.246,91,84,10
Swung or Took First Pitch of PA,Took 1st Pitch,51,135.0,118,13.0,25,1,0,7,,,16,38,2.38,0.212,0.311,0.398,0.709,47.0,1.0,1.0,0,0,3,0,0.247,106,94,17
Count/Balls-Strikes,First Pitch,25,29.0,29,3.0,11,4,0,2,,,0,0,,0.379,0.379,0.724,1.103,21.0,1.0,0.0,0,0,0,0,0.333,208,132,5
Count/Balls-Strikes,1-0 Count,10,12.0,12,1.0,4,0,0,1,,,0,0,,0.333,0.333,0.583,0.917,7.0,0.0,0.0,0,0,0,0,0.273,158,100,3
Count/Balls-Strikes,2-0 Count,1,1.0,1,0.0,0,0,0,0,,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,3-0 Count,3,4.0,0,0.0,0,0,0,0,,,4,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,3,0,,,,0
Count/Balls-Strikes,0-1 Count,17,18.0,17,1.0,2,1,0,0,,,0,0,,0.118,0.118,0.177,0.294,3.0,0.0,0.0,1,0,0,0,0.118,-16,-29,1
