Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2008 Totals,71,344,296,35.0,75,10,0,6,1,2,33,51,1.55,0.253,0.332,0.348,0.68,103.0,13.0,4.0,7,4,5,8,0.284,100,83,59
Platoon Splits,vs RHB,66,183,164,21.0,41,7,0,3,1,1,11,26,2.36,0.25,0.306,0.348,0.653,57.0,9.0,3.0,3,2,1,4,0.277,92,78,31
Platoon Splits,vs LHB,63,161,132,19.0,34,3,0,3,0,1,22,25,1.14,0.258,0.363,0.349,0.712,46.0,4.0,1.0,4,2,4,4,0.293,109,89,28
Platoon Splits,vs RHB as RHP,66,183,164,21.0,41,7,0,3,1,1,11,26,2.36,0.25,0.306,0.348,0.653,57.0,9.0,3.0,3,2,1,4,0.277,92,83,31
Platoon Splits,vs LHB as RHP,63,161,132,19.0,34,3,0,3,0,1,22,25,1.14,0.258,0.363,0.349,0.712,46.0,4.0,1.0,4,2,4,4,0.293,109,86,28
Home or Away,Home,36,177,150,16.0,34,4,0,3,0,0,19,28,1.47,0.227,0.314,0.313,0.627,47.0,8.0,1.0,5,2,4,3,0.256,85,74,27
Home or Away,Away,35,167,146,19.0,41,6,0,3,1,2,14,23,1.64,0.281,0.352,0.384,0.735,56.0,5.0,3.0,2,2,1,5,0.312,116,93,32
First or Second Half,1st Half,43,207,179,18.0,43,5,0,3,1,2,20,33,1.65,0.24,0.328,0.318,0.647,57.0,10.0,4.0,3,1,1,5,0.278,90,77,35
First or Second Half,2nd Half,28,137,117,17.0,32,5,0,3,0,0,13,18,1.38,0.274,0.338,0.393,0.732,46.0,3.0,0.0,4,3,4,3,0.293,115,93,24
Months,April/March,13,77,67,7.0,19,1,0,1,1,1,7,15,2.14,0.284,0.368,0.343,0.712,23.0,4.0,2.0,1,0,0,0,0.353,109,96,17
Months,May,15,62,55,5.0,10,2,0,1,0,1,6,10,1.67,0.182,0.274,0.273,0.547,15.0,3.0,1.0,0,0,0,4,0.205,61,50,7
Months,June,10,48,40,4.0,10,1,0,1,0,0,5,5,1.0,0.25,0.326,0.35,0.676,14.0,2.0,0.0,2,1,1,1,0.257,99,82,8
Months,July,12,51,44,5.0,11,4,0,0,0,0,5,9,1.8,0.25,0.333,0.341,0.674,15.0,2.0,1.0,0,1,1,0,0.306,98,79,7
Months,August,9,41,35,1.0,6,0,0,0,0,0,3,5,1.67,0.171,0.231,0.171,0.402,6.0,1.0,0.0,2,1,0,1,0.194,19,9,6
Months,Sept/Oct,12,65,55,13.0,19,2,0,3,0,0,7,7,1.0,0.346,0.413,0.546,0.958,30.0,1.0,0.0,2,1,3,2,0.348,181,153,14
Game Outcome for Pitcher,in Wins,7,43,34,2.0,10,2,0,0,0,0,6,4,0.67,0.294,0.381,0.353,0.734,12.0,4.0,0.0,1,2,1,1,0.313,116,151,8
Game Outcome for Pitcher,in Losses,5,36,27,10.0,11,3,0,0,0,1,7,5,0.71,0.407,0.514,0.519,1.033,14.0,2.0,0.0,1,1,2,3,0.478,204,118,8
Game Outcome for Pitcher,in No Dec.,31,161,141,18.0,41,4,0,3,1,1,13,24,1.85,0.291,0.361,0.383,0.744,54.0,2.0,3.0,3,1,1,1,0.33,119,102,34
Game Outcome for Pitcher,in Saves,28,104,94,5.0,13,1,0,3,0,0,7,18,2.57,0.138,0.206,0.245,0.451,23.0,5.0,1.0,2,0,1,3,0.137,33,97,9
Game Outcome for Pitcher,in Sv Situ,40,179,158,16.0,36,6,0,3,1,1,15,29,1.93,0.228,0.296,0.323,0.618,51.0,8.0,1.0,3,2,2,6,0.258,82,78,27
Game Outcome for Pitcher,in non-Sv,31,165,138,19.0,39,4,0,3,0,1,18,22,1.22,0.283,0.373,0.377,0.75,52.0,5.0,3.0,4,2,3,2,0.313,121,104,32
Pitching Role,as Reliever,71,344,296,35.0,75,10,0,6,1,2,33,51,1.55,0.253,0.332,0.348,0.68,103.0,13.0,4.0,7,4,5,8,0.284,100,87,59
Batting Order Positions,Batting 1st,37,37,29,5.0,7,0,0,1,0,1,4,6,1.5,0.241,0.324,0.345,0.668,10.0,0.0,0.0,3,1,0,3,0.261,97,77,6
Batting Order Positions,Batting 2nd,33,34,30,4.0,8,1,0,0,1,0,2,5,2.5,0.267,0.303,0.3,0.603,9.0,0.0,0.0,1,1,0,1,0.308,78,64,7
Batting Order Positions,Batting 3rd,39,40,35,5.0,11,2,0,0,0,0,5,3,0.6,0.314,0.4,0.371,0.771,13.0,2.0,0.0,0,0,2,1,0.344,127,91,9
Batting Order Positions,Batting 4th,38,38,34,10.0,6,1,0,2,0,0,3,9,3.0,0.177,0.237,0.382,0.619,13.0,4.0,0.0,0,1,2,1,0.167,81,46,3
Batting Order Positions,Batting 5th,38,38,34,2.0,8,1,0,1,0,1,4,6,1.5,0.235,0.316,0.353,0.669,12.0,1.0,0.0,0,0,0,0,0.259,97,73,6
Batting Order Positions,Batting 6th,38,38,35,4.0,10,1,0,1,0,0,1,3,3.0,0.286,0.324,0.4,0.724,14.0,3.0,1.0,1,0,0,2,0.29,113,91,8
Batting Order Positions,Batting 7th,38,40,34,4.0,10,2,0,1,0,0,5,8,1.6,0.294,0.385,0.441,0.826,15.0,0.0,0.0,1,0,0,0,0.36,143,127,7
Batting Order Positions,Batting 8th,41,41,33,2.0,9,1,0,0,0,0,5,4,0.8,0.273,0.375,0.303,0.678,10.0,0.0,1.0,1,1,1,0,0.3,100,100,8
Batting Order Positions,Batting 9th,38,38,32,4.0,6,1,0,0,0,0,4,7,1.75,0.188,0.316,0.219,0.535,7.0,3.0,2.0,0,0,0,0,0.24,58,86,5
Batting Order Positions,"Bat1-2,non-P",42,71,59,9.0,15,1,0,1,1,1,6,11,1.83,0.254,0.313,0.322,0.635,19.0,0.0,0.0,4,2,0,4,0.286,87,70,13
Batting Order Positions,"Bat3-6,non-P",61,154,138,21.0,35,5,0,4,0,1,13,21,1.62,0.254,0.32,0.377,0.697,52.0,10.0,1.0,1,1,4,4,0.272,105,75,26
Batting Order Positions,"Bat7-9,non-P",51,118,98,10.0,24,4,0,1,0,0,14,19,1.36,0.245,0.353,0.316,0.67,31.0,3.0,3.0,2,1,1,0,0.291,97,93,19
Swung or Took First Pitch of PA,Swung at 1st Pitch,52,103,92,15.0,23,4,0,3,,,2,14,7.0,0.25,0.276,0.391,0.667,36.0,4.0,2.0,5,2,0,4,0.26,96,81,16
Swung or Took First Pitch of PA,Took 1st Pitch,68,241,204,24.0,52,6,0,3,,,31,37,1.19,0.255,0.356,0.328,0.684,67.0,9.0,2.0,2,2,5,4,0.295,102,84,43
Count/Balls-Strikes,First Pitch,30,45,38,12.0,16,2,0,3,,,0,0,,0.421,0.415,0.711,1.125,27.0,1.0,1.0,4,2,0,2,0.351,229,152,11
Count/Balls-Strikes,1-0 Count,26,29,28,2.0,10,0,0,0,,,0,0,,0.357,0.345,0.357,0.702,10.0,0.0,0.0,0,1,0,1,0.345,107,65,10
Count/Balls-Strikes,2-0 Count,5,5,5,0.0,0,0,0,0,,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,3-0 Count,9,9,0,1.0,0,0,0,0,,,9,0,0.0,,1.0,,,0.0,0.0,0.0,0,0,5,0,,,,0
Count/Balls-Strikes,0-1 Count,27,31,31,6.0,9,3,0,1,,,0,0,,0.29,0.29,0.484,0.774,15.0,0.0,0.0,0,0,0,0,0.267,126,91,5
Count/Balls-Strikes,1-1 Count,28,33,33,7.0,8,3,0,2,,,0,0,,0.242,0.242,0.515,0.758,17.0,1.0,0.0,0,0,0,2,0.194,121,73,3
Count/Balls-Strikes,2-1 Count,16,19,17,3.0,5,0,0,0,,,0,0,,0.294,0.294,0.294,0.588,5.0,1.0,0.0,2,0,0,0,0.294,73,40,5
Count/Balls-Strikes,3-1 Count,16,17,5,1.0,3,1,0,0,,,12,0,0.0,0.6,0.882,0.8,1.682,4.0,0.0,0.0,0,0,0,0,0.6,396,154,2
Count/Balls-Strikes,0-2 Count,16,17,17,1.0,3,0,0,0,,,0,6,,0.177,0.177,0.177,0.353,3.0,0.0,0.0,0,0,0,1,0.273,4,80,3
Count/Balls-Strikes,1-2 Count,37,45,43,1.0,6,1,0,0,,,0,19,,0.14,0.178,0.163,0.341,7.0,5.0,2.0,0,0,0,1,0.25,1,58,5
